,outs,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
1,F,2.07905E-05,6.30166E-05,0.003827265,0,4.76826E-05,0.000142773,5.36107E-05,0,0.003200153,0.003201475,5.19065E-05,0.005115165,3.03591E-05,0.000224187,0,0.000115224,0.000181303,0.020906963,0,0,0.000187348,0.000102606,0.000579425,0.000162078,0,0.003318133,1.93356E-05,0.000426605,0.000255736,0.000106001,0,0.002794634,2.32188E-05,0.000200576,0,0.000102838,3.38995E-05,0,0.00102145,0.290053089,6.09063E-05,0.000625896,0,0,4.18831E-05,0.000626342,4.90034E-05,0.005462153,0.000415763,0.000175994,0,0,9.59297E-05,2.06403E-05,0.00039982
2,F,0.007058535,0.00030286,0.000221969,0.001741232,0.000363747,0.002229386,3.21125E-05,6.25552E-05,0.000698415,0.000410453,0.005146571,1.03854E-05,0.000886064,0.008134725,0.001123755,0.00019741,0.000180016,0.001105979,1.17579E-05,1.48761E-05,0.002978624,0.001007947,0.00084865,0.000215383,0.006486486,2.85825E-05,1.86289E-05,0.001587117,0.001814139,0.001710962,3.54673E-05,0.001811795,0.001155179,0.004765779,0.000948438,7.42148E-05,5.14377E-05,0,0.000685277,7.36865E-05,0.002655887,0.029918978,0,0.000576018,0,0.000335205,4.49721E-05,0.000221989,0.004874353,0.00016276,0.00011735,0.002850356,0,0,6.19361E-05
3,F,0.009384655,0.007348556,0.000638036,0.005048831,0.000412433,0.012143161,0.000354221,0.001178122,0.003666993,0.00481143,0.002012668,0.001178916,0.006338565,0.000703493,0.012192064,0.000229615,0,0.000386304,2.60967E-05,0.000106244,0.000282957,5.94801E-05,0.001790348,0.000207792,5.06945E-05,0.000310874,0,0.00072692,0.000271671,0.002887278,0.000514374,0.000673902,0.000148804,0.015775711,0.000999647,0.000365283,5.93771E-05,5.14774E-05,0.000237425,7.21917E-05,0.000369167,0.000468638,2.10389E-05,0.001972943,0.000224323,6.68125E-05,0,0.000270197,0.000135839,0.000152284,0.000795847,0.033361184,0.00191022,0,1.92125E-05
4,F,0.016714182,0.019454224,0.001210902,0.004902198,0.002199458,0.03805098,0.002477042,0.009350583,0.000490613,0.005937451,0.000325458,0.000753834,0.000920488,1.05983E-05,0.010877559,0.000592246,0.000542586,0.00355279,0,0.001812284,0.001647368,0.008761197,0,0.00117541,0.000145988,9.61552E-05,0.000748332,0.001782063,0.015600127,0.000234302,1.97126E-05,0.000800709,0.003722769,0.025796605,0.000698629,0.000755251,0.000530194,8.9108E-05,0.00025752,0.023600924,0.001119619,0.001108811,5.86244E-05,0.006729874,6.65126E-05,0.000304692,0.001527435,4.2008E-05,9.01266E-05,0.000123509,2.53865E-05,0.02281782,0,0,0
5,F,0.064746847,0.001964494,0.00838968,0.004526066,0.004695085,0.030022583,0.000598086,0.00012776,0.005648182,0.005103541,0.003516782,0.000139841,0.000345767,0.000952131,0.001662845,0.000213318,0.00459219,0.01588133,4.05047E-05,0.001075124,0.001591884,0.001069339,0.003490804,0.000120103,0.100626266,0,0.000702415,0.044631579,0.033971356,0.006963868,0.000136745,0.006625259,0.000130408,0.001483196,0.009783689,0.004427883,0.000898313,0.000238012,0.079621811,0,3.4802E-05,0.002357977,0.006106023,0.000829298,0.000288728,0.046729749,0.001776502,0.000269478,0.012182523,0.000315486,6.17971E-05,0.001701414,0,0,0.001919846
6,F,0.098746007,0.001228199,0.005112209,0.040924247,0.000230754,0.042896594,0.001046787,0.000124626,0.0046988,0.027760783,0.017019825,0.005422423,0.015778,0.085595992,0.006045669,0.000259108,0,0.04282894,0.000120161,0.002222949,1.42808E-05,0.022846153,0.00498843,0.041308722,0.011071717,0.000398759,4.25351E-05,0.051286307,0.031123232,0.004544068,0.019109756,0.013490527,0.00140015,0.121306952,0.004575413,0.042697588,0.000715276,2.37826E-05,0.06914046,8.0935E-05,0.097037266,0.018847547,0.012936563,0,1.6252E-05,0.000868907,0.000868938,0.001575181,0.000960388,0.000392208,0,0.087557034,0.000613481,0,0
7,F,0.050551471,0.00293378,0,0.02476837,0.007599598,0.029631172,0.000969869,0.00126499,0.102516707,0.013043674,0.006809339,0.022029072,0.001050066,0,0,0.002833877,0.000872882,0.070161762,0.049260024,0.001573692,0.017294555,0.165351236,0.07046191,0.008208499,0.003843752,0.001807423,0.000146776,0.003449823,0.114097879,0.000936376,0.005742064,0.007700661,0.04005191,0.017870985,0.005489382,0.014131613,0.009882066,0,0.120686487,0.000848669,0.000259244,0.000186463,0.127860027,0.005721929,9.34929E-05,0.012579552,4.46229E-05,0.060243121,0.015197777,0.000168671,4.35958E-05,0.266774892,0,0,0.010685977
8,F,0.104150594,0.002696013,0.00033006,0.036407767,0.001463976,0.018438823,0.000274857,0,0.000528169,0.008541794,0.017504488,0,0.000271095,0.000154149,0.003020371,8.66213E-05,0.002336158,0.001886081,0,0.005687318,0.011502647,0.012029534,0.006987629,0,0.008520754,0.000566332,0.00089564,0.190422513,0.004320831,2.30017E-05,0.003085399,0.001427071,0.149393298,0.203891366,0.00060426,0.043077457,7.58682E-05,0.001231632,0.534090397,0.000264718,0.043982416,0.000111288,0.000311042,0,0,0.000196773,0.000200998,0.000178807,0.002014932,0.000139378,0.000101227,0.021292378,0.000443881,0.003734346,0
9,F,0.196135932,0.004641638,0.001645046,0.025389394,0.005853855,0.001163975,0.004241829,0,0,0.071891642,0.084120172,0.011494253,0,0.000102187,0.002865794,0.002052892,0.003054283,0.00154845,0.00318899,0,0.003738318,0.025383914,0.007441686,0.033771639,0.064949522,0.002627721,0.004352524,0.001790026,0.074071529,0.006544992,0.000243386,0.045325621,0.003534852,0.108793894,0,0.005838027,0.023098294,0.002694168,0.011282837,0,0.000231911,0.026050918,0.000149193,0,0,0.00071185,0,0.108108665,0.007026755,0.000500202,0.331868518,0.245681311,0.000141489,0,0.009735332
10,F,0.026615392,0.001502855,0.001326908,0.001421053,0.000480943,0.126820388,0.002314815,0,0.001731227,0.004973475,0.008017848,0.006422365,0.007071042,0.0198349,0.104897365,0.001557183,0.003403531,0,3.81723E-05,0.053668077,0.000386324,0.019175952,0.006256742,0.16649596,0.027157441,0.005427342,0.000605373,0.009368679,0.05634501,0.00459482,0,0.002726919,0.341266719,0.022078665,0.086758805,0.077944444,0.000148584,0,0.299284114,0,0,0.012215935,3.29045E-05,0.00012439,0.000176149,0.164683505,0,0.261044591,0.030036969,5.40965E-05,0.02978236,0.017207499,0.029631484,0,0
11,F,,0.003698323,0.012223323,0.009093104,0.000300499,0.09687412,0.000523286,0,0.024106725,0.00361991,0.000366703,0.354288642,0,0,0.066594412,0,0.006130875,0.005679129,0,0.000427716,8.89442E-05,0.029301608,0.002179837,0.000231803,0.000151653,0.025433597,0.00228654,0.021641791,0.000571518,0.007707884,0.000121603,0,0.000467249,0.001343114,0.022901679,0.018881974,0.001130502,0,0.188180723,0.000348296,0.005544668,0,0.000674777,0,0,0.000264807,0.000269193,0.011209284,0.005777443,0,2.70533E-05,0.313076775,0,0.002881537,0
12,F,,,0.013689653,0,0.004902451,0.033421575,0.00606493,0,0,0.000741221,0.000438116,0,0.000118807,0.000507357,0.002309469,0.006535058,0.000246366,0,0,0,0.000402475,0.120387175,0.023022288,0.018321028,0,0.000215193,0,0,0.003416597,0,0,6.71186E-05,0.000332779,0.15340575,0.001241593,0.009300723,0,0,0.004176843,0.000241838,0.017011254,0.021464893,0.000106998,0.013520809,0.000149813,0.000661169,0.009932171,0.002339111,0.028976572,0,0,0.114391144,0,0,0
13,F,,,,0.00031068,0,0.070683049,0,0,0.007358953,0.003750938,0.017131085,0,0,0.000169808,0,0,0.021199493,0.001603592,0.000917311,0.027849642,0.00080429,0.000152509,0.017790956,0,0.001218398,0.000996264,0.000673552,0.001229301,0.013988429,0,0.000158036,0.002588811,0.12467202,0.014541538,0.005939525,0.014353019,0.000866074,0.000594575,0.013562314,0,0.001715526,0.002316155,0.000315093,0.001269182,0.000126445,0.462629896,0.031399873,0.000123716,0.00180386,0,0,0.017071746,0,0,9.45984E-05
14,F,,,,,0.000218962,0.006321113,0.000396197,0.000255624,0.004625347,0,0.007407407,0,0,0,0.000387147,0,0.01130137,0.002289494,0.02425016,0,0.001009897,0,0.01347548,0.036723164,0,0.001026343,0,0.000443656,0.000341122,0.008043288,0,5.3697E-05,0.002382126,0.027052732,0.000205522,0.009771447,0.000549511,0.000154855,0.024756585,0,0.001200757,0.089636735,0,0,0,0.00066549,0.017414439,0,0.00660066,6.05364E-05,0.246870801,0.139528995,5.20915E-05,0,0.021291209
15,F,,,,,,0.000296252,0,0,0.004402862,0.009196515,0,0.017902813,0.001211827,0,0.002522704,0.004588986,0,0.000372162,0,0,0.00601312,0.002314279,0.000581395,0,0.016295026,0,0,0.227388211,0,0,0,0.001538935,0.000200884,0.044032148,0.017635223,0.003430296,0.005663049,0,0.2396361,0.008344031,0.001650308,0.005964215,0.003134796,0.009415693,0,0.260605352,0.070766883,0.004685212,0.01082766,0,0,0.027074353,0.00982943,0,0
16,F,,,,,,,0,0,0,0.005898789,0.039764359,0,0.01062417,0,0,0,0.002172863,0,0,0.03320802,0.000949668,0.005084401,0,0.00030021,0.006711409,0.000452899,0,0.018939394,0.003702332,0.00427655,0.000201898,0.011600508,0,0.019211196,0.038362439,0.040179655,0.004443504,0,0.001106195,0,0.006201981,0.09356482,0.024158171,0.000471342,0,0.001749981,0.008526188,0.00938419,0.157776446,0.006716975,0,0.299170656,0,0,0
17,F,,,,,,,,0.00027933,0.01179444,0.001494024,0.021878536,0.000772798,0,0,0.011307157,0.000482625,0.00571066,0,0,0,0,0.007583965,0.000664746,0,0.090106007,0.000621697,0,0,0.001198083,0,0,0,0.008276534,0.014505119,0,0.000931002,0.010367336,0.000435698,0.196400531,0,0,0.02645387,0.00162413,0.00770515,9.73899E-05,0.000823949,0.008037694,0,0.102211966,0.001431639,0.000609694,0.010495015,0,0,0
18,F,,,,,,,,,0,0.056270096,0.00150263,0,0.001572327,0,0.002906977,0.092255125,0,0,0.004097069,0.006535948,0.002191381,0.022781775,0,0.000569314,0.001755413,0,0,0.005189414,0,0.00041841,0,0.005010737,0.00304878,0.037283951,0,0.240594372,0,0,0.336004663,0,0.000255265,0.001614639,0.027454491,0.00506061,0.000194477,0,9.43218E-05,0.321107464,0.177459016,0.000125384,0,0.071157895,0,9.4162E-05,0
19,F,,,,,,,,,,0.023038605,0,0,0,0,0.002028398,0,0,0,0,0.234547277,0,0.008058608,0.028690229,0,0.001647989,0.01124926,0,0.002723939,0.001604278,0.034410845,0,0,0,0.439113356,0.036702592,0.028486543,0,0.000675904,0.094192543,0.000553465,0.115563298,0.021482562,0,0.020198675,0,0,0.000108672,0.087315462,0.187841817,0,0,0.176097106,0.000223989,0,0
20,F,,,,,,,,,,,0.001879699,0,0,0,0,0,0,0,0.000672043,0.345811052,0,0.000984252,0.087356322,0.121381886,0,0,0,0.009205984,0.627902091,0,0,0,0,0.000743494,0,0,0.000180963,0,0.000225454,0,0,0.006866246,0,0,0,0.034171184,0.002192982,0.000434783,0.001173333,0.000261028,0,0.411630847,0,0,0
21,F,,,,,,,,,,,,0,0,0,0.009608785,0,0,0,0,0.012850467,0.008797654,0.000561798,0.023762376,0.027898867,0.20995671,0,0.000360101,0,0.007134364,0.006121134,0,0.029315961,0,0.000603136,0,0,0.00039984,0,0.024390244,0.016778143,0.008440914,0.000114995,0,0,0,0.003869152,0.000419375,0.001363791,0.125450377,0,0,0.522522523,0.04548326,0,0
22,F,,,,,,,,,,,,,0,0,0,0.00143575,0,0,0,0.041896638,0.001324503,0,0,0.11005291,0,0,0,0.002863962,0,0.254342432,0,0,0,0.000467071,0.003215434,0.081954887,0,0,0.00092115,0.000625,0.000345981,0.002266388,0,0,0,0.013622683,0.235630132,0.000211416,0.029616088,0.000249688,0.004629119,0.05076435,0,0,0
23,F,,,,,,,,,,,,,,0,0,0,0.007246377,0.070500928,0,0,0.009156493,0.006944444,0.01320132,0.000604961,0.006849315,0,0,0,0.017266187,0,0,0,0.514472966,0,0,0.052903226,0,0,0.00120048,0,0,0.003924133,0.000534093,0,0,0.004891905,0,0.116431925,0.192307692,0,0.00324797,0.176058803,0,0,0
24,F,,,,,,,,,,,,,,,0,0,0.001293661,0,0,0,0,0.000565931,0.003003003,0,0,0,0.0625,0,0,0.000489716,0,0,0.026775753,0.010404624,0,0,0.011004127,0,0.01300813,0,0,0.000687994,0.000265851,0,0,0.017709563,0.001552313,0.000555247,0.004784689,0.00030175,0,0.101140494,0.000291715,0,0
25,F,,,,,,,,,,,,,,,,0,0,0,0,0.003030303,0,0,0.023878021,0.047377327,0,0,0,0,0,0,0,0,0.013400335,0.03625731,0.018691589,0,0,0,0,0,0,0.001233654,0.03892525,0,0,0,0.006436956,0,0.025741466,0,0,0.571501079,0,0,0
26,F,,,,,,,,,,,,,,,,,0,0,0,0,0.006134969,0,0,0.004159239,0,0.037735849,0,0,0,0,0,0.240460763,0.000873362,0,0.00040833,0,0,0,0.027941176,0,0,0.003630496,0.000247036,0.201306185,0,0,0,0.001165954,0.069061737,0,0,0.29205678,0,0.000172771,0
27,F,,,,,,,,,,,,,,,,,,0,0,0,0,0.00617284,0.004807692,0,0,0.007984032,0,0.001358696,0,0.062706271,0,0,0,0.006930693,0,0.089460784,0.001191895,0,0.566744731,0,0,0.051056338,0,0,0,0,0.030380746,0,0.001557026,0,0,0.222713864,0,0,0
28,F,,,,,,,,,,,,,,,,,,,0,0.151515152,0,0,0.00623053,0,0.005540166,0.000300571,0,0,0.001367989,0.001841621,0,0,0,0.095890411,0.000997009,0,0.001797753,0,0,0,0,0,0,0,0,0.00862069,0.164278574,0.327810403,0.251730104,0,0,0.061825605,0,0,0
29,F,,,,,,,,,,,,,,,,,,,,0,0,0.004524887,0,0.01369863,0,0,0,0,0,0,0,0.267605634,0,0.273684211,0.003554502,0.095808383,0,0,0.004950495,0,0,0,0,0,0.00674974,0,0,0,0.113475177,0,0.005068226,0.073068095,0,0,0.125688533
30,F,,,,,,,,,,,,,,,,,,,,,0,0,0,0.189542484,0,0,0,0,0,0.061946903,0,0.001865672,0,0,0.037900875,0,0.030373832,0,0.301450589,0.263157895,0,0,0,0,0,0,0,0.003028009,0.000398724,0,0,0.026698076,0,0,0.003112033
31,F,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.002688172,0.062992126,0,0.00591716,0.016894087,0.004264392,0,0.033240997,0,0,0.009584665,0,0.00476758,0,0,0.003919007,0,0,0,0,0,0.122752635,0,0.036923077,0.177946768,0,0.000363636,0.168793503,0.011607143,0,0
32,F,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.17547918,0,0,0,0,0,0,0,0.009580838,0.004819277,0,0,0.023765996,0,0,0,0,0.185788305,0,0.002006018,0.000925069,0,0.098788101,0,0,0
33,F,,,,,,,,,,,,,,,,,,,,,,,,0,0.033333333,0,0,0.02173913,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0.004728132,0,0.111664296,0,0,0.001206273,0,0,0.235294118
34,F,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.005633803,0,0,0,0,0.000832639,0,0.004950495,0,0,0,0,0,0,0,0.005012531,0,0,0,0,0,0,0.016363636,0,0,0.506024096,0,0,0
35,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.008130081,0,0.014437367,0.372727273,0,0,0.173160173,0,0,0,0,0.004893964,0,0,0,0,0,0,0.007125891,0,0,0.115053763,0,0,0
36,F,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.068965517,0,0.027355623,0,0,0.006329114,0,0,0,0.319148936,0,0,0,0,0.006756757,0,0,0,0,0,0,0,0,0,0.252201761,0.001171875,0,0.005617978
37,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00617284,0.075630252,0,0.028608583,0,0.815920398,0,0,0,0,0,0.012430939,0,0,0.001429593,0,0,0,0,0,0.932282004,0,0,0
38,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.001579779,0.075862069,0.036363636,0,0,0.00390625,0,0.578125,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0.002392344,0,0,0
39,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.031724754,0,0,0,0,0.4,0,0,0.004477612,0,0,0,0,0,0,0.090909091,0.002398082,0,0
40,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025641026,0.088685015,0,0,0,0,0.000922935,0,0,0,0.005865103,0,0,0,0,0,0,0,0,0,0,0,0,0
41,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003007519,0,0,0
42,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060240964,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039076377,0,0,0,0.059760956,0,0,0
43,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.881410256,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0.001788909,0,0,0,0,0
44,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.326315789,0,0,0.002931119,0,0,0,0,0,0,0,0,0,0,0,0,0
45,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.051948052,0,0,0,0,0,0,0.391089109,0,0,0.134408602,0.007832898,0,0
46,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0,0,0
47,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933823529,0,0,0
48,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460208,0,0,0,0,0.000985707,0,0,0,0.003236246,0,0.528455285,0,0,0
49,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.296296296,0,0,0,0,0,0.000993542,0,0.058823529,0,0,0.289855072,0,0,0
50,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.485380117,0,0,0,0,0,0
51,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.035714286,0.014285714,0.037313433,0,0,0.016129032,0.007490637,0,0
52,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0625,0,0,0
53,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.014285714,0.016666667,0,0,0,0.034090909,0,0.06557377,0
54,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.147887324,0,0,0,0,0.125329121,0,0,0
55,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.105263158,0,0.038461538,0,0,0,0,0,0
56,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292682927,0,0.611428571,0,0,0,0,0,0
57,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
58,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
59,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
60,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
61,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0
